ano,genero,mes,numero,uf_id,data,data_ordinal
2015,0,9,14,31,2015-09-01,735842
2015,0,8,14,31,2015-08-01,735811
2015,0,7,17,31,2015-07-01,735780
2015,0,6,12,31,2015-06-01,735750
2015,0,5,11,31,2015-05-01,735719
2015,0,4,11,31,2015-04-01,735689
2015,0,3,13,31,2015-03-01,735658
2015,0,2,6,31,2015-02-01,735630
2015,0,1,10,31,2015-01-01,735599
2015,0,8,17,33,2015-08-01,735811
2015,0,7,20,33,2015-07-01,735780
2015,0,6,23,33,2015-06-01,735750
2015,0,5,16,33,2015-05-01,735719
2015,0,4,23,33,2015-04-01,735689
2015,0,3,18,33,2015-03-01,735658
2015,0,2,14,33,2015-02-01,735630
2015,0,1,11,33,2015-01-01,735599
2015,0,12,7,32,2015-12-01,735933
2015,0,11,6,32,2015-11-01,735903
2015,0,10,5,32,2015-10-01,735872
2015,0,9,4,32,2015-09-01,735842
2015,0,8,3,32,2015-08-01,735811
2015,0,7,6,32,2015-07-01,735780
2015,0,6,1,32,2015-06-01,735750
2015,0,5,2,32,2015-05-01,735719
2015,0,12,78,35,2015-12-01,735933
2015,0,11,86,35,2015-11-01,735903
2015,0,10,85,35,2015-10-01,735872
2015,0,9,76,35,2015-09-01,735842
2015,0,8,72,35,2015-08-01,735811
2015,0,7,72,35,2015-07-01,735780
2015,0,6,69,35,2015-06-01,735750
2015,0,5,62,35,2015-05-01,735719
2015,0,4,64,35,2015-04-01,735689
2015,0,3,68,35,2015-03-01,735658
2015,0,2,57,35,2015-02-01,735630
2015,0,1,69,35,2015-01-01,735599
2015,0,12,52,33,2015-12-01,735933
2015,0,11,32,33,2015-11-01,735903
2015,0,10,23,33,2015-10-01,735872
2015,0,9,26,33,2015-09-01,735842
2015,0,4,18,42,2015-04-01,735689
2015,0,3,16,42,2015-03-01,735658
2015,0,2,9,42,2015-02-01,735630
2015,0,1,8,42,2015-01-01,735599
2015,0,12,11,41,2015-12-01,735933
2015,0,11,12,41,2015-11-01,735903
2015,0,10,27,41,2015-10-01,735872
2015,0,9,17,41,2015-09-01,735842
2015,0,8,7,41,2015-08-01,735811
2015,0,7,13,41,2015-07-01,735780
2015,0,6,10,41,2015-06-01,735750
2015,0,5,16,41,2015-05-01,735719
2015,0,4,17,41,2015-04-01,735689
2015,0,3,7,41,2015-03-01,735658
2015,0,2,9,41,2015-02-01,735630
2015,0,1,14,41,2015-01-01,735599
2015,0,8,11,43,2015-08-01,735811
2015,0,7,11,43,2015-07-01,735780
2015,0,6,11,43,2015-06-01,735750
2015,0,5,15,43,2015-05-01,735719
2015,0,4,7,43,2015-04-01,735689
2015,0,3,12,43,2015-03-01,735658
2015,0,2,5,43,2015-02-01,735630
2015,0,1,6,43,2015-01-01,735599
2015,0,12,16,42,2015-12-01,735933
2015,0,11,22,42,2015-11-01,735903
2015,0,10,24,42,2015-10-01,735872
2015,0,9,36,42,2015-09-01,735842
2015,0,8,14,42,2015-08-01,735811
