ano,genero,mes,numero,uf_id,data,data_ordinal
2020,0,3,15,31,2020-03-01,737485
2020,0,2,17,31,2020-02-01,737456
2020,0,1,15,31,2020-01-01,737425
2021,0,12,36,31,2021-12-01,738125
2021,0,11,32,31,2021-11-01,738095
2021,0,10,27,31,2021-10-01,738064
2021,0,9,34,31,2021-09-01,738034
2021,0,8,19,31,2021-08-01,738003
2021,0,7,26,31,2021-07-01,737972
2021,0,6,23,31,2021-06-01,737942
2021,0,5,16,31,2021-05-01,737911
2021,0,4,14,31,2021-04-01,737881
2021,0,3,22,31,2021-03-01,737850
2021,0,2,24,31,2021-02-01,737822
2021,0,1,26,31,2021-01-01,737791
2021,1,4,27,31,2021-04-01,737881
2021,1,3,37,31,2021-03-01,737850
2021,1,2,41,31,2021-02-01,737822
2021,1,1,38,31,2021-01-01,737791
2021,1,11,49,31,2021-11-01,738095
2021,1,9,48,31,2021-09-01,738034
2021,1,8,41,31,2021-08-01,738003
2021,1,7,48,31,2021-07-01,737972
2021,1,6,36,31,2021-06-01,737942
2021,1,5,31,31,2021-05-01,737911
